Number,Start date,Start station number,Start station,End date,End station number,End station,Bike number,Bike model,Total duration,Total duration (ms)
132825189,8/1/2023 0:00,1190,"Kennington Lane Rail Bridge, Vauxhall",8/1/2023 0:17,1059,"Albert Embankment, Vauxhall",23715,CLASSIC,16m 46s,1006663
132825190,8/1/2023 0:00,1190,"Kennington Lane Rail Bridge, Vauxhall",8/1/2023 0:17,1059,"Albert Embankment, Vauxhall",41267,CLASSIC,16m 47s,1007128
132825191,8/1/2023 0:00,983,"Euston Road, Euston",8/1/2023 0:11,3500,"Baldwin Street, St. Luke's",53180,CLASSIC,11m 6s,666395
132825192,8/1/2023 0:01,3479,"Old Brompton Road, South Kensington",8/1/2023 0:12,1140,"Grosvenor Road, Pimlico",53431,CLASSIC,11m 53s,713059
132825193,8/1/2023 0:01,1219,"Lower Marsh, Waterloo",8/1/2023 0:17,200056,"Vauxhall Walk, Vauxhall",54758,CLASSIC,16m 3s,963786
132825194,8/1/2023 0:01,1219,"Lower Marsh, Waterloo",8/1/2023 0:08,1205,"Black Prince Road, Vauxhall",52921,CLASSIC,7m 45s,465422
132825195,8/1/2023 0:01,200120,"Grant Road East, Clapham Junction",8/1/2023 0:04,200126,"Usk Road, Clapham Junction",59224,CLASSIC,3m 26s,206583
132825196,8/1/2023 0:01,200155,"Gascoyne Road, Victoria Park",8/1/2023 1:04,3469,"Cadogan Place, Knightsbridge",61178,PBSC_EBIKE,1h 2m 58s,3778515
132825197,8/1/2023 0:01,300202,"Kings Gate House, Westminster",8/1/2023 0:18,1210,"Nevern Place, Earl's Court",51757,CLASSIC,17m 5s,1025908
132825198,8/1/2023 0:01,1154,"Kennington Road  , Vauxhall",8/1/2023 0:09,1093,"Kennington Cross, Kennington",53424,CLASSIC,7m 16s,436692
132825199,8/1/2023 0:02,200206,"Chicheley Street, South Bank",8/1/2023 0:32,1146,"Tysoe Street, Clerkenwell",58698,CLASSIC,30m 25s,1825371
132825200,8/1/2023 0:02,22174,"Granby Street, Shoreditch",8/1/2023 0:13,22176,"Reardon Street, Wapping",60408,PBSC_EBIKE,10m 43s,643340
132825201,8/1/2023 0:02,200206,"Chicheley Street, South Bank",8/1/2023 0:32,1146,"Tysoe Street, Clerkenwell",30830,CLASSIC,29m 38s,1778291
132825202,8/1/2023 0:03,3431,"Grafton Street, Mayfair",8/1/2023 0:20,1220,"Imperial College, Knightsbridge",24052,CLASSIC,17m 21s,1041621
132825203,8/1/2023 0:03,1212,"Concert Hall Approach 2, South Bank",8/1/2023 0:23,300005,"Ethelburga Estate, Battersea Park",51682,CLASSIC,20m 15s,1215619
132825204,8/1/2023 0:03,200123,"Burdett Road, Mile End",8/1/2023 0:08,22178,"Lindfield Street, Poplar",57922,CLASSIC,5m 18s,318562
132825205,8/1/2023 0:04,200150,"Cantrell Road, Bow",8/1/2023 0:19,200102,"Harford Street, Mile End",57910,CLASSIC,14m 56s,896171
